n_plus,n_minus,n_target,pi_target,pi,var_n,var,seed,gamma
150,150,100.0,0.75,0.5415308856531582,0.00874356688574538,0.3747242951033734,0.0,0.16405610887482988
150,150,200.0,0.75,0.651986312473056,0.0072738788635784545,0.3967570289224612,0.0,0.03714838064585355
150,150,300.0,0.75,0.6375165814864919,0.005755739107963211,0.34534434647779266,0.0,0.03153742088098113
150,150,400.0,0.75,0.6146842381721329,0.0048378453313167,0.30554812618842314,0.0,0.04286334940185656
150,150,500.0,0.75,0.618513678190221,0.0043577788159483415,0.2842029662575005,0.0,0.037295302703220616
150,150,1000.0,0.75,0.6183106086139024,0.003511828973066936,0.24501132370234435,0.0,0.037295302703220616
150,150,1500.0,0.75,0.6434106021328077,0.0033141201939921364,0.23672287099943828,0.0,0.03582312615955697
150,150,100.0,0.75,0.8827102175249306,0.013917000796884087,0.5964428912950323,1.0,0.04523383563076436
150,150,200.0,0.75,0.7983274757582818,0.009403979558369288,0.5129443395474157,1.0,0.03069235326536979
150,150,300.0,0.75,0.8269687032167753,0.0075728731838088145,0.4543723910285289,1.0,0.03069235326536979
150,150,400.0,0.75,0.8003248076905263,0.00662206019448369,0.41823538070423305,1.0,0.03069235326536979
150,150,500.0,0.75,0.7954471320142495,0.005992803475339311,0.3908350092612594,1.0,0.03069235326536979
150,150,1000.0,0.75,0.807610954070608,0.004970255632219372,0.34676202085251434,1.0,0.03069235326536979
150,150,1500.0,0.75,0.8095556549938892,0.0046256620574544535,0.33040443267531805,1.0,0.03069235326536979
150,150,100.0,0.75,0.7419255132874214,0.008357738662936575,0.3581887998401389,2.0,0.028530002634028908
150,150,200.0,0.75,0.7868399225029462,0.005226669592948452,0.2850910687062792,2.0,0.047023059373005056
150,150,300.0,0.75,0.6964583355261486,0.0038852127164288163,0.23311276298572897,2.0,0.059641098278654714
150,150,400.0,0.75,0.738636663184162,0.0033838399602290517,0.2137162080144664,2.0,0.059641098278654714
150,150,500.0,0.75,0.7296788569212581,0.0031214128603986183,0.2035704039390403,2.0,0.059641098278654714
150,150,1000.0,0.75,0.6868408073399602,0.0023782745764067553,0.1659261332376806,2.0,0.059641098278654714
150,150,1500.0,0.75,0.6752730847137074,0.002153518080860036,0.15382272006143113,2.0,0.059641098278654714
150,150,100.0,0.75,0.7065586427754271,0.01766645544388561,0.7571338047379547,3.0,0.04693718426386734
150,150,200.0,0.75,0.7708436642026015,0.015884211754534673,0.8664115502473458,3.0,0.05312983236378731
150,150,300.0,0.75,0.6831271355254062,0.011943322026952124,0.7165993216171275,3.0,0.039281900678302534
150,150,400.0,0.75,0.6935289933025497,0.010488354286846763,0.6624223760113744,3.0,0.05312983236378731
150,150,500.0,0.75,0.6891885551731213,0.010864464337793337,0.7085520220300002,3.0,0.03303591667707097
150,150,1000.0,0.75,0.7346988121211245,0.008775049272443543,0.6122127399379217,3.0,0.03303591667707097
150,150,1500.0,0.75,0.7235824992184033,0.008083201404907647,0.5773715289219747,3.0,0.03303591667707097
150,150,100.0,0.75,0.6361913998813623,0.013275792994364648,0.568962556901342,4.0,0.03134948190503232
150,150,200.0,0.75,0.7913427663837163,0.013140814403852855,0.7167716947556102,4.0,0.04223047750164054
150,150,300.0,0.75,0.7676796668392085,0.00853461146266782,0.5120766877600692,4.0,0.0717755579166033
150,150,400.0,0.75,0.7729498211804773,0.007401992806996792,0.46749428254716574,4.0,0.051309655060756
150,150,500.0,0.75,0.7928611921381794,0.006623929191478834,0.43199538205296745,4.0,0.051309655060756
150,150,1000.0,0.75,0.8252123938449185,0.005626872473038498,0.392572498118965,4.0,0.06522018966677232
150,150,1500.0,0.75,0.8482018423965094,0.005368649010803405,0.3834749293431003,4.0,0.06522018966677232
150,150,100.0,0.75,0.7407901731470173,0.012480730059979734,0.5348884311419886,5.0,0.03440781905094915
150,150,200.0,0.75,0.6843089835368203,0.0068249280690973685,0.3722688037689474,5.0,0.032103023164409605
150,150,300.0,0.75,0.737363406324855,0.0053360065365375365,0.3201603921922522,5.0,0.032103023164409605
