n_plus,n_minus,n_target,pi_target,pi,var_n,var,seed
50.0,50.0,100.0,0.75,0.7567567567567567,0.0063949117955790806,3.19745589778954e-05,0.0
100.0,100.0,200.0,0.75,0.8230769230769229,0.005119771769726251,1.2799429424315628e-05,0.0
150.0,150.0,300.0,0.75,0.7169811320754715,0.0025168138434248227,4.194689739041372e-06,0.0
200.0,200.0,400.0,0.75,0.75,0.002023962261686504,2.5299528271081297e-06,0.0
250.0,250.0,500.0,0.75,0.7529069767441862,0.0016320763163774463,1.6320763163774462e-06,0.0
50.0,50.0,100.0,0.75,0.7179487179487178,0.00507464607297713,2.537323036488565e-05,1.0
100.0,100.0,200.0,0.75,0.7357142857142858,0.0036793401002949114,9.198350250737278e-06,1.0
150.0,150.0,300.0,0.75,0.7594339622641509,0.0024161679117963688,4.026946519660615e-06,1.0
200.0,200.0,400.0,0.75,0.7622377622377622,0.0017485277801841353,2.1856597252301694e-06,1.0
250.0,250.0,500.0,0.75,0.7612359550561797,0.0013812924080465745,1.3812924080465745e-06,1.0
50.0,50.0,100.0,0.75,0.7297297297297298,0.006438012224441458,3.219006112220729e-05,2.0
100.0,100.0,200.0,0.75,0.6923076923076923,0.0027342080869618424,6.835520217404606e-06,2.0
150.0,150.0,300.0,0.75,0.6585365853658536,0.0015403221897975993,2.5672036496626654e-06,2.0
200.0,200.0,400.0,0.75,0.6790123456790124,0.0012114474281847433,1.514309285230929e-06,2.0
250.0,250.0,500.0,0.75,0.6726804123711341,0.0011100271707591418,1.110027170759142e-06,2.0
50.0,50.0,100.0,0.75,0.7142857142857143,0.007646813827571845,3.823406913785922e-05,3.0
100.0,100.0,200.0,0.75,0.7222222222222223,0.005165112039744611,1.2912780099361527e-05,3.0
150.0,150.0,300.0,0.75,0.705,0.0028813842617449663,4.802307102908277e-06,3.0
200.0,200.0,400.0,0.75,0.6707317073170731,0.002636481251314002,3.2956015641425027e-06,3.0
250.0,250.0,500.0,0.75,0.6807909604519774,0.001454139269460882,1.4541392694608819e-06,3.0
50.0,50.0,100.0,0.75,0.6578947368421053,0.005898631542303158,2.949315771151579e-05,4.0
100.0,100.0,200.0,0.75,0.7066666666666667,0.0031260681481481483,7.815170370370371e-06,4.0
150.0,150.0,300.0,0.75,0.6863636363636364,0.0022251518902741177,3.7085864837901963e-06,4.0
200.0,200.0,400.0,0.75,0.6743421052631579,0.0015060604763804447,1.882575595475556e-06,4.0
250.0,250.0,500.0,0.75,0.6825396825396826,0.001241988342531673,1.241988342531673e-06,4.0
50.0,50.0,100.0,0.75,0.9142857142857144,0.008953493867351189,4.476746933675594e-05,5.0
100.0,100.0,200.0,0.75,0.7039473684210527,0.0030423764924685966,7.605941231171492e-06,5.0
150.0,150.0,300.0,0.75,0.717948717948718,0.001838665709793163,3.0644428496552716e-06,5.0
200.0,200.0,400.0,0.75,0.7483221476510067,0.001614739800379235,2.0184247504740435e-06,5.0
250.0,250.0,500.0,0.75,0.7420212765957448,0.0012290047666970122,1.2290047666970121e-06,5.0
50.0,50.0,100.0,0.75,0.6951219512195123,0.004936738135970004,2.468369067985002e-05,6.0
100.0,100.0,200.0,0.75,0.6756756756756757,0.0033806804185656375,8.451701046414094e-06,6.0
150.0,150.0,300.0,0.75,0.7758620689655172,0.0018790169013731938,3.13169483562199e-06,6.0
200.0,200.0,400.0,0.75,0.7692307692307692,0.0013696242847232205,1.7120303559040257e-06,6.0
250.0,250.0,500.0,0.75,0.6979166666666667,0.0011868733206480437,1.1868733206480437e-06,6.0
50.0,50.0,100.0,0.75,0.675,0.0049580357142857134,2.4790178571428567e-05,7.0
100.0,100.0,200.0,0.75,0.7530864197530863,0.0023751563077032255,5.937890769258064e-06,7.0
