n_plus,n_minus,n_target,pi_target,pi,var_n,var,seed
250,250,100.0,0.75,0.7025789856300909,0.005162686304757313,0.10325372609514624,0.0
250,250,200.0,0.75,0.7195990978305644,0.0038706828121061357,0.15482731248424542,0.0
250,250,300.0,0.75,0.697850943226856,0.002053069585655814,0.12318417513934884,0.0
250,250,400.0,0.75,0.7019010780472894,0.0014712165043176623,0.11769732034541297,0.0
250,250,500.0,0.75,0.7171953942347233,0.0012393376167657687,0.12393376167657687,0.0
250,250,100.0,0.75,0.7781006574859578,0.004950257746562896,0.09900515493125792,1.0
250,250,200.0,0.75,0.7652358963058274,0.003228110088339876,0.12912440353359503,1.0
250,250,300.0,0.75,0.7911070129755138,0.00215844851422507,0.1295069108535042,1.0
250,250,400.0,0.75,0.7650282781594534,0.001622093521092934,0.1297674816874347,1.0
250,250,500.0,0.75,0.7615266266619483,0.001275613927340558,0.12756139273405578,1.0
250,250,100.0,0.75,0.8161574480728269,0.005075119648489136,0.10150239296978271,2.0
250,250,200.0,0.75,0.7799610479130679,0.0029272816027753174,0.11709126411101269,2.0
250,250,300.0,0.75,0.7017860987337249,0.0015633449498257406,0.09380069698954444,2.0
250,250,400.0,0.75,0.7081775725447133,0.0012214430064538615,0.09771544051630891,2.0
250,250,500.0,0.75,0.7079184819454368,0.000999445900473683,0.0999445900473683,2.0
250,250,100.0,0.75,0.6368465431223798,0.008402348530413098,0.16804697060826196,3.0
250,250,200.0,0.75,0.7744591649439238,0.004681664051265293,0.1872665620506117,3.0
250,250,300.0,0.75,0.7404733638961943,0.0026632804737165647,0.1597968284229939,3.0
250,250,400.0,0.75,0.7435658416546799,0.002087642315019346,0.16701138520154765,3.0
250,250,500.0,0.75,0.7278825464786068,0.0013815235318918803,0.13815235318918803,3.0
250,250,100.0,0.75,0.6319947352539738,0.0059026542149443395,0.11805308429888678,4.0
250,250,200.0,0.75,0.7231801036676031,0.003642666053806821,0.14570664215227283,4.0
250,250,300.0,0.75,0.6831444815581774,0.002231597448079679,0.13389584688478073,4.0
250,250,400.0,0.75,0.6658424052832643,0.0015720545672022104,0.12576436537617683,4.0
250,250,500.0,0.75,0.6792660433004193,0.0012728244776714465,0.12728244776714465,4.0
250,250,100.0,0.75,0.832386155900863,0.00684953648252206,0.1369907296504412,5.0
250,250,200.0,0.75,0.6993361011479595,0.0031499524684776314,0.12599809873910525,5.0
250,250,300.0,0.75,0.72407778492029,0.0020082462736257896,0.12049477641754738,5.0
250,250,400.0,0.75,0.737963012176016,0.001601563523654521,0.1281250818923617,5.0
250,250,500.0,0.75,0.7521213928272373,0.0012651471636284742,0.12651471636284742,5.0
250,250,100.0,0.75,0.6933101562115408,0.006145034103755061,0.1229006820751012,6.0
250,250,200.0,0.75,0.6367089203826974,0.0029776799308283033,0.11910719723313212,6.0
250,250,300.0,0.75,0.7676769587219664,0.001844740954545283,0.11068445727271697,6.0
250,250,400.0,0.75,0.7533111751368846,0.0013669936608503887,0.10935949286803108,6.0
250,250,500.0,0.75,0.6751677940988565,0.0011333857101962488,0.11333857101962488,6.0
250,250,100.0,0.75,0.7483831910398115,0.008091677912850663,0.16183355825701326,7.0
250,250,200.0,0.75,0.7608724052016356,0.0020135983080897916,0.08054393232359167,7.0
250,250,300.0,0.75,0.7363027215212196,0.0016357631614044787,0.09814578968426872,7.0
250,250,400.0,0.75,0.7405834932440636,0.0013007280725110377,0.104058245800883,7.0
250,250,500.0,0.75,0.760498507783025,0.001154648757116235,0.1154648757116235,7.0
250,250,100.0,0.75,0.6902781046959134,0.007490581786442309,0.14981163572884618,8.0
250,250,200.0,0.75,0.82539674602913,0.0035058751256541367,0.14023500502616545,8.0
250,250,300.0,0.75,0.7452983620370927,0.0030320887473836203,0.1819253248430172,8.0
250,250,400.0,0.75,0.748620331628741,0.0018614888031070085,0.14891910424856067,8.0
250,250,500.0,0.75,0.7457830581060594,0.0014277382190473367,0.14277382190473367,8.0
250,250,100.0,0.75,0.9041538165447864,0.007818679234388158,0.15637358468776316,9.0
250,250,200.0,0.75,0.7954673951335147,0.0039387083574057725,0.15754833429623089,9.0
