n_plus,n_minus,n_target,pi_target,pi,var_n,var,seed
50.0,50.0,300.0,0.75,1.0,0.8201138866366504,0.002050284716591626,0.0
100.0,100.0,300.0,0.75,0.5998211491169232,0.019380975607081765,3.876195121416353e-05,0.0
150.0,150.0,300.0,0.75,0.6604680987495988,0.008813977454162588,1.4689962423604314e-05,0.0
200.0,200.0,300.0,0.75,0.6717351706660328,0.007668998563407816,1.0955712233439736e-05,0.0
250.0,250.0,300.0,0.75,0.6644148430066601,0.007180060561578643,8.975075701973303e-06,0.0
50.0,50.0,300.0,0.75,0.6865049279757393,0.013958431583894156,3.489607895973539e-05,1.0
100.0,100.0,300.0,0.75,1.0,0.03046385965052898,6.092771930105796e-05,1.0
150.0,150.0,300.0,0.75,0.9780590717299581,0.018760476450429272,3.126746075071545e-05,1.0
200.0,200.0,300.0,0.75,0.9507635597682993,0.009495969228767304,1.3565670326810433e-05,1.0
250.0,250.0,300.0,0.75,0.9247806101128286,0.008617650644022269,1.0772063305027837e-05,1.0
50.0,50.0,300.0,0.75,0.6718875502008029,0.013310631992223725,3.327657998055931e-05,2.0
100.0,100.0,300.0,0.75,0.7935275080906148,0.00791391527719678,1.582783055439356e-05,2.0
150.0,150.0,300.0,0.75,0.7292511201194795,0.004202865365084598,7.00477560847433e-06,2.0
200.0,200.0,300.0,0.75,0.6974509803921563,0.005321143283629243,7.60163326232749e-06,2.0
250.0,250.0,300.0,0.75,0.7003840877914955,0.005272432547078236,6.5905406838477946e-06,2.0
50.0,50.0,300.0,0.75,0.8830845771144302,0.24751517356284364,0.0006187879339071091,3.0
100.0,100.0,300.0,0.75,0.9106396657023457,0.03750235914448653,7.500471828897306e-05,3.0
150.0,150.0,300.0,0.75,0.7273768613974804,0.022750223682119854,3.7917039470199756e-05,3.0
200.0,200.0,300.0,0.75,0.7351190476190476,0.012304874298074558,1.7578391854392227e-05,3.0
250.0,250.0,300.0,0.75,0.6918702766160397,0.00789191479290436,9.86489349113045e-06,3.0
50.0,50.0,300.0,0.75,0.6069476971116314,0.011487908654573735,2.871977163643434e-05,4.0
100.0,100.0,300.0,0.75,0.6546806250948256,0.009015122514945547,1.8030245029891093e-05,4.0
150.0,150.0,300.0,0.75,0.7378368263473055,0.011573359681215405,1.9288932802025677e-05,4.0
200.0,200.0,300.0,0.75,0.6512695240210239,0.006754296599444052,9.648995142062931e-06,4.0
250.0,250.0,300.0,0.75,0.596735959153902,0.0063481096201404175,7.935137025175523e-06,4.0
50.0,50.0,300.0,0.75,0.6866843618668429,0.010287657920516122,2.5719144801290305e-05,5.0
100.0,100.0,300.0,0.75,0.7501254390366279,0.013243303046222227,2.6486606092444455e-05,5.0
150.0,150.0,300.0,0.75,0.744579744579745,0.007680559107553356,1.280093184592226e-05,5.0
200.0,200.0,300.0,0.75,0.8506906579425665,0.010222916618731002,1.4604166598187146e-05,5.0
250.0,250.0,300.0,0.75,0.9052309281392943,0.010182532948814445,1.2728166186018056e-05,5.0
50.0,50.0,300.0,0.75,0.652286135693215,0.021987281466032207,5.4968203665080514e-05,6.0
100.0,100.0,300.0,0.75,0.7380952380952378,0.020837590755841507,4.1675181511683013e-05,6.0
150.0,150.0,300.0,0.75,0.7129458794587948,0.008604380058141589,1.434063343023598e-05,6.0
200.0,200.0,300.0,0.75,0.7207999310404278,0.009648646107803346,1.3783780154004781e-05,6.0
250.0,250.0,300.0,0.75,0.7920350801523974,0.009577147372817629,1.1971434216022036e-05,6.0
50.0,50.0,300.0,0.75,0.741959064327486,0.01520990488285042,3.802476220712605e-05,7.0
100.0,100.0,300.0,0.75,0.7124227865477005,0.005623285868766186,1.1246571737532372e-05,7.0
150.0,150.0,300.0,0.75,0.7047729022324867,0.006189748829767484,1.0316248049612474e-05,7.0
200.0,200.0,300.0,0.75,0.6861279461279461,0.005748551956739562,8.212217081056517e-06,7.0
250.0,250.0,300.0,0.75,0.7497948465452157,0.005447499922310203,6.809374902887753e-06,7.0
50.0,50.0,300.0,0.75,0.6820695102685628,0.012452810416327884,3.113202604081971e-05,8.0
100.0,100.0,300.0,0.75,0.7313218390804598,0.0079640740676484,1.5928148135296802e-05,8.0
150.0,150.0,300.0,0.75,0.7652989034311987,0.011243302835323769,1.873883805887295e-05,8.0
200.0,200.0,300.0,0.75,0.7809335638429247,0.009266240845559624,1.3237486922228034e-05,8.0
250.0,250.0,300.0,0.75,0.7840404454464708,0.008747246427390918,1.0934058034238648e-05,8.0
50.0,50.0,300.0,0.75,1.0,0.29998433848155504,0.0007499608462038876,9.0
100.0,100.0,300.0,0.75,0.8892749594625904,0.028049723791936654,5.6099447583873304e-05,9.0
150.0,150.0,300.0,0.75,0.7998698340383988,0.009954022519461387,1.6590037532435644e-05,9.0
200.0,200.0,300.0,0.75,0.8545886828340461,0.011536114925344804,1.6480164179064005e-05,9.0
250.0,250.0,300.0,0.75,0.8992109367831916,0.014143809980140585,1.767976247517573e-05,9.0
50.0,50.0,300.0,0.75,0.7242907801418446,0.11638669210008658,0.00029096673025021645,10.0
100.0,100.0,300.0,0.75,0.5758564437194122,0.02622085531764424,5.244171063528848e-05,10.0
150.0,150.0,300.0,0.75,0.7385735811150164,0.02007997084946683,3.346661808244472e-05,10.0
200.0,200.0,300.0,0.75,0.707502623294858,0.009649292263410924,1.3784703233444176e-05,10.0
250.0,250.0,300.0,0.75,0.6605495583905789,0.007393639048817268,9.242048811021586e-06,10.0
50.0,50.0,300.0,0.75,0.8572900566718189,0.04871982279251676,0.0001217995569812919,11.0
100.0,100.0,300.0,0.75,0.6689272503082608,0.016184445704696068,3.2368891409392135e-05,11.0
150.0,150.0,300.0,0.75,0.7626150428435425,0.008651149531013171,1.4418582551688619e-05,11.0
200.0,200.0,300.0,0.75,0.7673001363162536,0.00801405600698046,1.1448651438543514e-05,11.0
250.0,250.0,300.0,0.75,0.7748744357556101,0.007649520880250926,9.561901100313658e-06,11.0
50.0,50.0,300.0,0.75,0.6348233597692864,0.01138184107285738,2.845460268214345e-05,12.0
100.0,100.0,300.0,0.75,0.7606992163954193,0.011489006029519456,2.297801205903891e-05,12.0
150.0,150.0,300.0,0.75,0.8223154362416107,0.012115944690787596,2.019324115131266e-05,12.0
200.0,200.0,300.0,0.75,0.7930242272347529,0.014965836186108493,2.137976598015499e-05,12.0
250.0,250.0,300.0,0.75,0.8314914760558557,0.01384515852429096,1.73064481553637e-05,12.0
50.0,50.0,300.0,0.75,0.6423553337030872,0.006357053467854223,1.589263366963556e-05,13.0
100.0,100.0,300.0,0.75,0.7844215349369993,0.007078355559324504,1.4156711118649009e-05,13.0
150.0,150.0,300.0,0.75,0.7838772123893805,0.009194463962228562,1.532410660371427e-05,13.0
200.0,200.0,300.0,0.75,0.7262710739413254,0.006740884631719863,9.629835188171233e-06,13.0
250.0,250.0,300.0,0.75,0.7496357012750458,0.007552761150590929,9.440951438238661e-06,13.0
50.0,50.0,300.0,0.75,0.4951229855810006,0.008687273416196987,2.1718183540492467e-05,14.0
100.0,100.0,300.0,0.75,0.6058631921824105,0.00545112501124464,1.090225002248928e-05,14.0
150.0,150.0,300.0,0.75,0.5864631180761957,0.006421136154372839,1.07018935906214e-05,14.0
200.0,200.0,300.0,0.75,0.6309792136238418,0.005421683144760231,7.745261635371759e-06,14.0
250.0,250.0,300.0,0.75,0.7201103790054625,0.0061025961824326845,7.628245228040855e-06,14.0
50.0,50.0,300.0,0.75,0.600163398692811,0.01689372921675536,4.22343230418884e-05,15.0
100.0,100.0,300.0,0.75,0.7289156626506025,0.01053999190234227,2.107998380468454e-05,15.0
150.0,150.0,300.0,0.75,0.6066886481394251,0.005309007766942969,8.848346278238282e-06,15.0
200.0,200.0,300.0,0.75,0.6415248897290485,0.005174432042667793,7.392045775239705e-06,15.0
250.0,250.0,300.0,0.75,0.6458369445888948,0.006013493937162864,7.51686742145358e-06,15.0
50.0,50.0,300.0,0.75,1.0,0.10715380263675736,0.0002678845065918934,16.0
100.0,100.0,300.0,0.75,0.7527660430496877,0.018215978951020936,3.643195790204187e-05,16.0
150.0,150.0,300.0,0.75,0.6486870120652943,0.010333000045135064,1.7221666741891773e-05,16.0
200.0,200.0,300.0,0.75,0.612155388471178,0.007073886209774081,1.0105551728248687e-05,16.0
250.0,250.0,300.0,0.75,0.634823848238482,0.007272648801064026,9.090811001330033e-06,16.0
50.0,50.0,300.0,0.75,0.689847715736041,0.021746990103706842,5.4367475259267104e-05,17.0
100.0,100.0,300.0,0.75,0.6552732871439573,0.01049661602471391,2.099323204942782e-05,17.0
150.0,150.0,300.0,0.75,0.6095890410958905,0.009691806309719149,1.615301051619858e-05,17.0
200.0,200.0,300.0,0.75,0.7135429561772719,0.008199051860898133,1.1712931229854475e-05,17.0
250.0,250.0,300.0,0.75,0.6805851579151323,0.007217698059069909,9.022122573837386e-06,17.0
50.0,50.0,300.0,0.75,0.6322128851540622,0.032819546853754857,8.204886713438715e-05,18.0
100.0,100.0,300.0,0.75,0.6327142001198319,0.015765984626878882,3.153196925375777e-05,18.0
150.0,150.0,300.0,0.75,0.6764267064528158,0.012031676579508098,2.0052794299180164e-05,18.0
200.0,200.0,300.0,0.75,0.7567844342037894,0.018579736829058308,2.654248118436901e-05,18.0
250.0,250.0,300.0,0.75,0.8836724047991651,0.020497168544693748,2.5621460680867186e-05,18.0
50.0,50.0,300.0,0.75,0.8436936936936936,0.05263999002955415,0.00013159997507388536,19.0
100.0,100.0,300.0,0.75,0.6583756345177664,0.011280253044887327,2.2560506089774655e-05,19.0
150.0,150.0,300.0,0.75,0.6990792410714287,0.006558644538441211,1.0931074230735351e-05,19.0
200.0,200.0,300.0,0.75,0.6779350658497084,0.005981668007408612,8.545240010583731e-06,19.0
250.0,250.0,300.0,0.75,0.6903133346361799,0.006909647994841268,8.637059993551585e-06,19.0
50.0,50.0,300.0,0.75,1.0,0.046976224634110525,0.00011744056158527632,20.0
100.0,100.0,300.0,0.75,0.8009118541033434,0.012761164456898403,2.5522328913796807e-05,20.0
150.0,150.0,300.0,0.75,0.7698019801980198,0.011474509414613195,1.9124182357688657e-05,20.0
200.0,200.0,300.0,0.75,0.7649149530337648,0.00947201369868274,1.3531448140975343e-05,20.0
250.0,250.0,300.0,0.75,0.7719549446353573,0.007912684621129732,9.890855776412166e-06,20.0
50.0,50.0,300.0,0.75,1.0,0.08173735604561365,0.00020434339011403413,21.0
100.0,100.0,300.0,0.75,0.9876232431298511,0.026061333802772473,5.212266760554494e-05,21.0
150.0,150.0,300.0,0.75,0.8021960534691276,0.011459128475822733,1.9098547459704556e-05,21.0
200.0,200.0,300.0,0.75,0.8573797678275292,0.010714672714815644,1.530667530687949e-05,21.0
250.0,250.0,300.0,0.75,0.8906592653508765,0.010619678055094882,1.3274597568868603e-05,21.0
50.0,50.0,300.0,0.75,0.14662447257383937,0.17268019799379428,0.00043170049498448567,22.0
100.0,100.0,300.0,0.75,0.6602990033222587,0.027303564021463524,5.460712804292705e-05,22.0
150.0,150.0,300.0,0.75,0.5812841530054645,0.009822193008344532,1.6370321680574218e-05,22.0
200.0,200.0,300.0,0.75,0.7091772943235808,0.008807150275802767,1.2581643251146811e-05,22.0
250.0,250.0,300.0,0.75,0.6819809069212409,0.008047727517262406,1.0059659396578008e-05,22.0
50.0,50.0,300.0,0.75,0.7300055928411641,0.011771194041194082,2.9427985102985202e-05,23.0
100.0,100.0,300.0,0.75,0.6830294530154276,0.006992583565212588,1.3985167130425175e-05,23.0
150.0,150.0,300.0,0.75,0.6856848845186374,0.005299513629946747,8.832522716577912e-06,23.0
200.0,200.0,300.0,0.75,0.693050193050193,0.0057049023981318205,8.149860568759744e-06,23.0
250.0,250.0,300.0,0.75,0.7233836319815575,0.005676134634248714,7.095168292810892e-06,23.0
50.0,50.0,300.0,0.75,0.5560428849902537,0.020901298073621146,5.2253245184052866e-05,24.0
100.0,100.0,300.0,0.75,0.6393968559512359,0.013367982768031467,2.6735965536062934e-05,24.0
150.0,150.0,300.0,0.75,0.6311747613117479,0.013999148712262908,2.333191452043818e-05,24.0
200.0,200.0,300.0,0.75,0.6187749909123957,0.009254338497120908,1.3220483567315582e-05,24.0
250.0,250.0,300.0,0.75,0.6191887264585804,0.007668516128841346,9.585645161051682e-06,24.0
50.0,50.0,300.0,0.75,0.491856060606061,0.0234434089190484,5.8608522297621e-05,25.0
100.0,100.0,300.0,0.75,0.7562310030395135,0.016856717603,3.3713435206e-05,25.0
150.0,150.0,300.0,0.75,0.6894916540212445,0.01284054358178606,2.1400905969643434e-05,25.0
200.0,200.0,300.0,0.75,0.8091208274565115,0.016960059001033676,2.4228655715762394e-05,25.0
250.0,250.0,300.0,0.75,0.7930329480223325,0.010180739181257451,1.2725923976571814e-05,25.0
50.0,50.0,300.0,0.75,0.6857229280096795,0.05238693621345916,0.0001309673405336479,26.0
100.0,100.0,300.0,0.75,0.5895364493171766,0.01509390673196735,3.0187813463934702e-05,26.0
150.0,150.0,300.0,0.75,0.7067938021454115,0.013391840873739078,2.231973478956513e-05,26.0
