n_plus,n_minus,n_target,pi_target,pi,var_n,var,seed,gamma
50.0,50.0,300.0,0.25,0.2926813756629109,0.010094978191352893,0.23296103518506675,0.0,0.03475597893079882
100.0,100.0,300.0,0.25,0.24823333064432715,0.0051537949474008094,0.22087692631717754,0.0,0.07005604608360697
150.0,150.0,300.0,0.25,0.2533790429504128,0.0032077674825014162,0.19246604895008498,0.0,0.06954889699922114
200.0,200.0,300.0,0.25,0.2760141343027284,0.002555174024473048,0.1916380518354786,0.0,0.08380018893288484
250.0,250.0,300.0,0.25,0.2803665379518903,0.002402158011292215,0.21195511864343072,0.0,0.07941002602420338
50.0,50.0,300.0,0.25,0.15593043762305425,0.007723406621761082,0.1782324605021788,1.0,0.040287977124931165
100.0,100.0,300.0,0.25,0.163167045479879,0.0055416581955719385,0.23749963695308307,1.0,0.028046619194018692
150.0,150.0,300.0,0.25,0.25100189127878486,0.003430509609071239,0.20583057654427436,1.0,0.031054285278969838
200.0,200.0,300.0,0.25,0.25206904661203766,0.0029340161186596748,0.22005120889947563,1.0,0.03573631948612484
250.0,250.0,300.0,0.25,0.2393690981932568,0.0028141590230183113,0.24830814908985097,1.0,0.03698335743751659
50.0,50.0,300.0,0.25,0.31620325014681877,0.005957883930800254,0.13748962917231355,2.0,0.0914609516903503
100.0,100.0,300.0,0.25,0.3072996902800171,0.004060519065966052,0.1740222456842594,2.0,0.10872275076491082
150.0,150.0,300.0,0.25,0.2598735488088929,0.003438431157938819,0.20630586947632915,2.0,0.09932291801525792
200.0,200.0,300.0,0.25,0.2947890905321954,0.0026061733771567926,0.19546300328675947,2.0,0.11304623807206472
250.0,250.0,300.0,0.25,0.3210373570417562,0.002290456041312344,0.2020990624687362,2.0,0.12471016051117147
50.0,50.0,300.0,0.25,0.17399183762402565,0.011537741540533376,0.26625557401230865,3.0,0.10300159107265934
100.0,100.0,300.0,0.25,0.21877034699874934,0.005130134030442224,0.21986288701895246,3.0,0.08682454882597009
150.0,150.0,300.0,0.25,0.25370130031065125,0.003331285346873739,0.19987712081242434,3.0,0.10054695862434744
200.0,200.0,300.0,0.25,0.2824961071710155,0.0025533542690936288,0.19150157018202216,3.0,0.09282374806310145
250.0,250.0,300.0,0.25,0.2604227038795499,0.002391408272529355,0.21100661228200188,3.0,0.088549900362329
50.0,50.0,300.0,0.25,0.3638328330313673,0.005555354517117274,0.12820048885655247,4.0,0.1020445425210189
100.0,100.0,300.0,0.25,0.39332279983447455,0.0029276628669430015,0.12547126572612863,4.0,0.06882065500487972
150.0,150.0,300.0,0.25,0.3761324836652584,0.0029749291573406196,0.17849574944043717,4.0,0.05880358040089763
200.0,200.0,300.0,0.25,0.3598442678118673,0.0025644620129460084,0.19233465097095065,4.0,0.058334637935534416
250.0,250.0,300.0,0.25,0.3324764000846966,0.0025515521502902723,0.22513695443737697,4.0,0.05674278643263093
50.0,50.0,300.0,0.25,0.15251685767834355,0.005990995625068051,0.1382537451938781,5.0,0.09394811900027197
100.0,100.0,300.0,0.25,0.23077887653071727,0.0035731975844809903,0.15313703933489958,5.0,0.0705914321088968
150.0,150.0,300.0,0.25,0.21314588270120635,0.0034085279272664804,0.20451167563598882,5.0,0.062056034169655216
200.0,200.0,300.0,0.25,0.22276584060475083,0.003066649571948786,0.22999871789615894,5.0,0.054945546800691344
250.0,250.0,300.0,0.25,0.18427974934284397,0.0032164057717488322,0.28380050927195577,5.0,0.05151046731736976
50.0,50.0,300.0,0.25,0.1964858802253142,0.006086302816772095,0.1404531419255099,6.0,0.12068457190197783
100.0,100.0,300.0,0.25,0.15591684864787397,0.0048818627831542965,0.2092226907066127,6.0,0.0924260859888092
150.0,150.0,300.0,0.25,0.21060859212143457,0.003428764940207126,0.20572589641242756,6.0,0.10554982956531006
200.0,200.0,300.0,0.25,0.22048210200557083,0.002826938427731475,0.21202038207986063,6.0,0.10567890258344102
250.0,250.0,300.0,0.25,0.22774944476276326,0.002505904602056709,0.221109229593239,6.0,0.11842987378020242
50.0,50.0,300.0,0.25,0.27660748143554775,0.004472393984600448,0.10320909195231803,7.0,0.10819638840460638
100.0,100.0,300.0,0.25,0.2786615741084639,0.002891731156062719,0.1239313352598308,7.0,0.0995703275419413
150.0,150.0,300.0,0.25,0.21967183453538985,0.0026968280908918063,0.16180968545350838,7.0,0.0938009516148611
200.0,200.0,300.0,0.25,0.2116210744865799,0.0025782223852093226,0.1933666788906992,7.0,0.09292735865755446
250.0,250.0,300.0,0.25,0.20929235633188653,0.0025401266397426714,0.22412882115376512,7.0,0.08604353942526768
50.0,50.0,300.0,0.25,0.35408467906960794,0.003959755716005584,0.09137897806166734,8.0,0.11466705267485279
100.0,100.0,300.0,0.25,0.338425883259674,0.0030764902218182117,0.1318495809350662,8.0,0.06588246743705174
150.0,150.0,300.0,0.25,0.34789505569609014,0.0028572367757929242,0.17143420654757546,8.0,0.060180200525055114
200.0,200.0,300.0,0.25,0.3412786793883069,0.0023858731552887026,0.1789404866466527,8.0,0.0771229991229407
