sim_scenario,n_plus,n_minus,n_target,pi_target,seed,time,gamma_selection_name,estimator,type,estimator_name,kernel,pi,var_n,var,gamma
sim_par_4,50,50,100,0.25,0,0.009870052337646484,one_over_p,nrm,U,nrm_type,rbf,0.25640134352477234,0.005163288230230895,0.1032657646046179,0.2
sim_par_4,50,50,100,0.25,0,0.004069805145263672,one_over_p,nrm,V,nrm_type,rbf,0.3987978188184715,0.003890490135136988,0.07780980270273975,0.2
sim_par_4,50,50,100,0.25,0,0.0044324398040771484,one_over_p,ipr,U,ipr_type,rbf,0.2466673209807455,0.005163288230230895,0.1032657646046179,0.2
sim_par_4,50,50,100,0.25,0,0.004305124282836914,one_over_p,ipr,V,ipr_type,rbf,0.28049896110501005,0.003890490135136988,0.07780980270273975,0.2
sim_par_4,50,50,100,0.25,0,0.08613371849060059,numerical,ipr,U,ipr_type,rbf,0.24991060446223867,0.004903008493922315,0.09806016987844629,0.10702799572362301
sim_par_4,50,50,100,0.25,0,0.06055927276611328,grid,ipr,U,ipr_type,rbf,0.24922905282505625,0.004917857978316736,0.09835715956633471,0.12591489465140474
sim_par_4,50,50,100,0.25,0,2.7877421379089355,bootstrap_var,ipr,U,ipr_type,rbf,0.2519707921201809,0.005163855950018806,0.10327711900037612,0.04476424415736285
sim_par_4,50,50,100,0.25,0,2.8623857498168945,bootstrap_mse,ipr,U,ipr_type,rbf,0.24922905282505625,0.004917857978316736,0.09835715956633471,0.12591489465140474
sim_par_4,50,50,100,0.25,0,0.06069803237915039,distance,ipr,U,ipr_type,rbf,0.24716150854184343,0.005096601646639702,0.10193203293279403,0.18485418024337993
sim_par_4,50,50,100,0.25,0,0.059813499450683594,distance,ipr,V,ipr_type,rbf,0.2633550379647993,0.005229290078922414,0.10458580157844827,0.012224477147180095
sim_par_4,100,100,200,0.25,0,0.008173465728759766,one_over_p,nrm,U,nrm_type,rbf,0.18414075307715413,0.004029073115492123,0.16116292461968493,0.2
sim_par_4,100,100,200,0.25,0,0.007234334945678711,one_over_p,nrm,V,nrm_type,rbf,0.3036778069515994,0.003413612327036549,0.13654449308146197,0.2
sim_par_4,100,100,200,0.25,0,0.007328987121582031,one_over_p,ipr,U,ipr_type,rbf,0.19137409823859702,0.004029073115492123,0.16116292461968493,0.2
sim_par_4,100,100,200,0.25,0,0.006971836090087891,one_over_p,ipr,V,ipr_type,rbf,0.21598288136128607,0.003413612327036549,0.13654449308146197,0.2
sim_par_4,100,100,200,0.25,0,0.17470622062683105,numerical,ipr,U,ipr_type,rbf,0.18982648958081455,0.003788531103092221,0.15154124412368883,0.0852833273776311
sim_par_4,100,100,200,0.25,0,0.10605168342590332,grid,ipr,U,ipr_type,rbf,0.19018458951936618,0.0037903742082389283,0.15161496832955712,0.07829726982344162
sim_par_4,100,100,200,0.25,0,4.844462871551514,bootstrap_var,ipr,U,ipr_type,rbf,0.201172477389589,0.0046360853026931785,0.18544341210772713,0.3937658571390952
sim_par_4,100,100,200,0.25,0,4.994048118591309,bootstrap_mse,ipr,U,ipr_type,rbf,0.1892378319024532,0.003845569244202534,0.15382276976810136,0.13185306450939824
sim_par_4,100,100,200,0.25,0,0.10365176200866699,distance,ipr,U,ipr_type,rbf,0.19322833507924975,0.0038596209990969903,0.1543848399638796,0.047186518934536056
sim_par_4,100,100,200,0.25,0,0.10271716117858887,distance,ipr,V,ipr_type,rbf,0.20840709394914508,0.003971115255760929,0.15884461023043714,0.012817109394489974
sim_par_4,150,150,300,0.25,0,0.01486825942993164,one_over_p,nrm,U,nrm_type,rbf,0.1880203822877302,0.002032127856156459,0.12192767136938755,0.2
sim_par_4,150,150,300,0.25,0,0.01361536979675293,one_over_p,nrm,V,nrm_type,rbf,0.2665779955291991,0.0018375479325903829,0.11025287595542298,0.2
sim_par_4,150,150,300,0.25,0,0.014762639999389648,one_over_p,ipr,U,ipr_type,rbf,0.1923316086288317,0.002032127856156459,0.12192767136938755,0.2
sim_par_4,150,150,300,0.25,0,0.013833284378051758,one_over_p,ipr,V,ipr_type,rbf,0.20740067539233953,0.0018375479325903829,0.11025287595542298,0.2
sim_par_4,150,150,300,0.25,0,0.3097877502441406,numerical,ipr,U,ipr_type,rbf,0.19711440756724347,0.0019035903967697984,0.1142154238061879,0.08813531421409386
sim_par_4,150,150,300,0.25,0,0.22702360153198242,grid,ipr,U,ipr_type,rbf,0.1982564028264867,0.0019072391878332368,0.11443435126999421,0.07497440329387095
sim_par_4,150,150,300,0.25,0,10.103588581085205,bootstrap_var,ipr,U,ipr_type,rbf,0.1982564028264867,0.0019072391878332368,0.11443435126999421,0.07497440329387095
sim_par_4,150,150,300,0.25,0,10.293653011322021,bootstrap_mse,ipr,U,ipr_type,rbf,0.20426159132225774,0.0020093318109957654,0.12055990865974593,0.029632938209371476
sim_par_4,150,150,300,0.25,0,0.20113849639892578,distance,ipr,U,ipr_type,rbf,0.1982564028264867,0.0019072391878332368,0.11443435126999421,0.07497440329387095
sim_par_4,150,150,300,0.25,0,0.21184277534484863,distance,ipr,V,ipr_type,rbf,0.21180513837445292,0.0020571551041768115,0.12342930625060869,0.012714089983135278
sim_par_4,200,200,400,0.25,0,0.022676944732666016,one_over_p,nrm,U,nrm_type,rbf,0.20762902050557472,0.0015496245754180633,0.12396996603344505,0.2
sim_par_4,200,200,400,0.25,0,0.023557186126708984,one_over_p,nrm,V,nrm_type,rbf,0.2632444471969219,0.0014391760850435422,0.11513408680348337,0.2
sim_par_4,200,200,400,0.25,0,0.02399754524230957,one_over_p,ipr,U,ipr_type,rbf,0.2184160536923957,0.0015496245754180633,0.12396996603344505,0.2
sim_par_4,200,200,400,0.25,0,0.021787405014038086,one_over_p,ipr,V,ipr_type,rbf,0.22870274686365838,0.0014391760850435422,0.11513408680348337,0.2
sim_par_4,200,200,400,0.25,0,0.5005226135253906,numerical,ipr,U,ipr_type,rbf,0.21705901367726038,0.0014409921225430509,0.11527936980344407,0.08467864926048953
sim_par_4,200,200,400,0.25,0,0.33365416526794434,grid,ipr,U,ipr_type,rbf,0.21701042861068864,0.0014422990623037387,0.1153839249842991,0.07563024864524512
sim_par_4,200,200,400,0.25,0,16.9662868976593,bootstrap_var,ipr,U,ipr_type,rbf,0.22159764929727094,0.001795167856728644,0.1436134285382915,0.3625816576506805
sim_par_4,200,200,400,0.25,0,17.862229824066162,bootstrap_mse,ipr,U,ipr_type,rbf,0.21740728298136403,0.0014611772339926995,0.11689417871941594,0.12616534988837758
sim_par_4,200,200,400,0.25,0,0.36348438262939453,distance,ipr,U,ipr_type,rbf,0.21701042861068864,0.0014422990623037387,0.1153839249842991,0.07563024864524512
sim_par_4,200,200,400,0.25,0,0.36171507835388184,distance,ipr,V,ipr_type,rbf,0.22007328478942056,0.0015420499736426671,0.12336399789141336,0.013128929735811876
sim_par_4,250,250,500,0.25,0,0.03802371025085449,one_over_p,nrm,U,nrm_type,rbf,0.22769490721580524,0.0012912583531504481,0.12912583531504482,0.2
sim_par_4,250,250,500,0.25,0,0.03802847862243652,one_over_p,nrm,V,nrm_type,rbf,0.27079163199464895,0.0012148702951177543,0.12148702951177542,0.2
sim_par_4,250,250,500,0.25,0,0.0412602424621582,one_over_p,ipr,U,ipr_type,rbf,0.2314214292001433,0.0012912583531504481,0.12912583531504482,0.2
sim_par_4,250,250,500,0.25,0,0.036737680435180664,one_over_p,ipr,V,ipr_type,rbf,0.23963033057469024,0.0012148702951177543,0.12148702951177542,0.2
sim_par_4,250,250,500,0.25,0,0.9112188816070557,numerical,ipr,U,ipr_type,rbf,0.23002507155423185,0.0012027198533684743,0.12027198533684742,0.08340794829438608
