sim_scenario,n_plus,n_minus,n_target,pi_target,seed,time,gamma_selection_name,estimator,type,estimator_name,kernel,pi,var_n,var,gamma
sim_par_7-Cauchy,50,50,300,0.25,87,0.016657590866088867,one_over_p,nrm,U,nrm_U,rbf,0.49231739931826873,0.02867538655688037,0.6617396897741623,0.2
sim_par_7-Cauchy,50,50,300,0.25,87,0.010691642761230469,one_over_p,nrm,V,nrm_V,rbf,0.6922895132326918,0.002533389862179836,0.05846284297338082,0.2
sim_par_7-Cauchy,50,50,300,0.25,87,0.010214805603027344,one_over_p,ipr,U,ipr_U,rbf,0.4323752980713423,0.02867538655688037,0.6617396897741623,0.2
sim_par_7-Cauchy,50,50,300,0.25,87,0.010307073593139648,one_over_p,ipr,V,ipr_V,rbf,0.4766720342018901,0.002533389862179836,0.05846284297338082,0.2
sim_par_7-Cauchy,50,50,300,0.25,87,0.14062070846557617,numerical,ipr,U,ipr_U,rbf,0.43668878695220376,0.02821045608032025,0.6510105249304673,0.26922701396670934
sim_par_7-Cauchy,50,50,300,0.25,87,0.1258254051208496,grid,ipr,U,ipr_U,rbf,0.4237988486053633,0.031129859812421314,0.7183813802866457,0.1120667687616934
sim_par_7-Cauchy,50,50,300,0.25,87,5.742125034332275,bootstrap_var,ipr,U,ipr_U,rbf,0.4237988486053633,0.031129859812421314,0.7183813802866457,0.1120667687616934
sim_par_7-Cauchy,50,50,300,0.25,87,5.985647916793823,bootstrap_mse,ipr,U,ipr_U,rbf,0.4237988486053633,0.031129859812421314,0.7183813802866457,0.1120667687616934
sim_par_7-Cauchy,50,50,300,0.25,87,0.12345147132873535,distance,ipr,U,ipr_U,rbf,0.30033461614567836,0.3045981908938211,7.029189020626641,0.003862066743726347
sim_par_7-Cauchy,50,50,300,0.25,87,0.12607359886169434,distance,ipr,V,ipr_V,rbf,0.00360794115557711,0.0002546058375043387,0.005875519327023201,5.783284069315872e-09
sim_par_7-Cauchy,50,50,300,0.25,87,0.08269381523132324,numerical,ipr,V,ipr_V,rbf,0.4886065936457311,0.0007985406765855332,0.01842786176735846,0.4
sim_par_7-Cauchy,50,50,300,0.25,87,0.12479305267333984,grid,ipr,V,ipr_V,rbf,0.00360794115557711,0.0002546058375043387,0.005875519327023201,5.783284069315872e-09
