,sim_scenario,n_plus,n_minus,n_target,pi_target,gamma_selection_name,estimator,type,kernel,x,x_name,p,distributions,method_name,MSE,facet_blocks
0,sim_par_4,50,50,100,0.25,bootstrap_mse,ipr,U,rbf,100,n_target=n_source,5,Gaussian,ipr_U_bootstrap_mse_rbf,0.005737580496196014,"p = 5, sim_par_4, pi_target = 0.25"
3,sim_par_4,50,50,100,0.25,bootstrap_mse,ipr,V,rbf,100,n_target=n_source,5,Gaussian,ipr_V_bootstrap_mse_rbf,0.007754104816515176,"p = 5, sim_par_4, pi_target = 0.25"
6,sim_par_4,50,50,100,0.25,bootstrap_var,ipr,U,rbf,100,n_target=n_source,5,Gaussian,ipr_U_bootstrap_var_rbf,0.006413760966989444,"p = 5, sim_par_4, pi_target = 0.25"
9,sim_par_4,50,50,100,0.25,bootstrap_var,ipr,V,rbf,100,n_target=n_source,5,Gaussian,ipr_V_bootstrap_var_rbf,0.0068898004104503575,"p = 5, sim_par_4, pi_target = 0.25"
12,sim_par_4,50,50,100,0.25,distance,ipr,U,rbf,100,n_target=n_source,5,Gaussian,ipr_U_distance_rbf,0.005920208104502516,"p = 5, sim_par_4, pi_target = 0.25"
15,sim_par_4,50,50,100,0.25,distance,ipr,V,rbf,100,n_target=n_source,5,Gaussian,ipr_V_distance_rbf,0.005062092156646504,"p = 5, sim_par_4, pi_target = 0.25"
18,sim_par_4,50,50,100,0.25,grid,ipr,U,rbf,100,n_target=n_source,5,Gaussian,ipr_U_grid_rbf,0.005182774791400529,"p = 5, sim_par_4, pi_target = 0.25"
21,sim_par_4,50,50,100,0.25,grid,ipr,V,rbf,100,n_target=n_source,5,Gaussian,ipr_V_grid_rbf,0.0071119978031114915,"p = 5, sim_par_4, pi_target = 0.25"
24,sim_par_4,50,50,100,0.25,numerical,ipr,U,rbf,100,n_target=n_source,5,Gaussian,ipr_U_numerical_rbf,0.005227795302604872,"p = 5, sim_par_4, pi_target = 0.25"
27,sim_par_4,50,50,100,0.25,numerical,ipr,V,rbf,100,n_target=n_source,5,Gaussian,ipr_V_numerical_rbf,0.007201563584063625,"p = 5, sim_par_4, pi_target = 0.25"
30,sim_par_4,50,50,100,0.25,one_over_p,ipr,U,rbf,100,n_target=n_source,5,Gaussian,ipr_U_one_over_p_rbf,0.006207073317601283,"p = 5, sim_par_4, pi_target = 0.25"
33,sim_par_4,50,50,100,0.25,one_over_p,ipr,V,rbf,100,n_target=n_source,5,Gaussian,ipr_V_one_over_p_rbf,0.0051456550243370106,"p = 5, sim_par_4, pi_target = 0.25"
