,sim_scenario,n_plus,n_minus,n_target,pi_target,gamma_selection_name,estimator,type,kernel,x,x_name,p,distributions,method_name,MSE,facet_blocks
0,sim_par_1,150,150,100,0.25,bootstrap_mse,ipr,U,rbf,100,"n_target, n_source=300",5,Cauchy,ipr_U_bootstrap_mse_rbf,0.02498799401234305,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
1,sim_par_1,150,150,100,0.25,bootstrap_mse,ipr,U,rbf,100,"n_target, n_source=300",5,Gaussian,ipr_U_bootstrap_mse_rbf,0.0044439527234153104,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
2,sim_par_1,150,150,100,0.25,bootstrap_mse,ipr,V,rbf,100,"n_target, n_source=300",5,Cauchy,ipr_V_bootstrap_mse_rbf,0.01428634721355124,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
3,sim_par_1,150,150,100,0.25,bootstrap_mse,ipr,V,rbf,100,"n_target, n_source=300",5,Gaussian,ipr_V_bootstrap_mse_rbf,0.00478760918167406,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
4,sim_par_1,150,150,100,0.25,bootstrap_var,ipr,U,rbf,100,"n_target, n_source=300",5,Cauchy,ipr_U_bootstrap_var_rbf,0.03329960620102636,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
5,sim_par_1,150,150,100,0.25,bootstrap_var,ipr,U,rbf,100,"n_target, n_source=300",5,Gaussian,ipr_U_bootstrap_var_rbf,0.004992193607139291,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
6,sim_par_1,150,150,100,0.25,bootstrap_var,ipr,V,rbf,100,"n_target, n_source=300",5,Cauchy,ipr_V_bootstrap_var_rbf,0.014273999462290273,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
7,sim_par_1,150,150,100,0.25,bootstrap_var,ipr,V,rbf,100,"n_target, n_source=300",5,Gaussian,ipr_V_bootstrap_var_rbf,0.004906938871804779,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
8,sim_par_1,150,150,100,0.25,distance,ipr,U,rbf,100,"n_target, n_source=300",5,Cauchy,ipr_U_distance_rbf,0.10991776661385498,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
9,sim_par_1,150,150,100,0.25,distance,ipr,U,rbf,100,"n_target, n_source=300",5,Gaussian,ipr_U_distance_rbf,0.004719393609531787,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
10,sim_par_1,150,150,100,0.25,distance,ipr,V,rbf,100,"n_target, n_source=300",5,Cauchy,ipr_V_distance_rbf,0.10697638969215394,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
11,sim_par_1,150,150,100,0.25,distance,ipr,V,rbf,100,"n_target, n_source=300",5,Gaussian,ipr_V_distance_rbf,0.004418182381165968,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
12,sim_par_1,150,150,100,0.25,grid,ipr,U,rbf,100,"n_target, n_source=300",5,Cauchy,ipr_U_grid_rbf,0.024458812388763233,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
13,sim_par_1,150,150,100,0.25,grid,ipr,U,rbf,100,"n_target, n_source=300",5,Gaussian,ipr_U_grid_rbf,0.004267424735324237,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
14,sim_par_1,150,150,100,0.25,grid,ipr,V,rbf,100,"n_target, n_source=300",5,Cauchy,ipr_V_grid_rbf,0.01428634721355124,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
15,sim_par_1,150,150,100,0.25,grid,ipr,V,rbf,100,"n_target, n_source=300",5,Gaussian,ipr_V_grid_rbf,0.004272630145553156,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
16,sim_par_1,150,150,100,0.25,numerical,ipr,U,rbf,100,"n_target, n_source=300",5,Cauchy,ipr_U_numerical_rbf,0.024025080723550182,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
17,sim_par_1,150,150,100,0.25,numerical,ipr,U,rbf,100,"n_target, n_source=300",5,Gaussian,ipr_U_numerical_rbf,0.004265414950757571,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
18,sim_par_1,150,150,100,0.25,numerical,ipr,V,rbf,100,"n_target, n_source=300",5,Cauchy,ipr_V_numerical_rbf,0.028902890513619033,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
19,sim_par_1,150,150,100,0.25,numerical,ipr,V,rbf,100,"n_target, n_source=300",5,Gaussian,ipr_V_numerical_rbf,0.004255412182869646,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
20,sim_par_1,150,150,100,0.25,one_over_p,ipr,U,rbf,100,"n_target, n_source=300",5,Cauchy,ipr_U_one_over_p_rbf,0.028877010674803583,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
21,sim_par_1,150,150,100,0.25,one_over_p,ipr,U,rbf,100,"n_target, n_source=300",5,Gaussian,ipr_U_one_over_p_rbf,0.005280845123696278,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
22,sim_par_1,150,150,100,0.25,one_over_p,ipr,V,rbf,100,"n_target, n_source=300",5,Cauchy,ipr_V_one_over_p_rbf,0.01593919572416903,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
23,sim_par_1,150,150,100,0.25,one_over_p,ipr,V,rbf,100,"n_target, n_source=300",5,Gaussian,ipr_V_one_over_p_rbf,0.004740457550655274,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
