,sim_scenario,n_plus,n_minus,n_target,pi_target,gamma_selection_name,estimator,type,kernel,x,x_name,p,distributions,method_name,MSE,count_sim,facet_blocks
0,sim_par_1,150,150,100,0.25,bootstrap_mse,ipr,U,laplacian,100,"n_target, n_source=300",5,Gaussian,ipr_U_bootstrap_mse_laplacian,0.004671915913190386,100,"sim_par_1, pi_target = 0.25"
1,sim_par_1,150,150,100,0.25,bootstrap_mse,ipr,U,rbf,100,"n_target, n_source=300",5,Gaussian,ipr_U_bootstrap_mse_rbf,0.0044439527234153104,100,"sim_par_1, pi_target = 0.25"
2,sim_par_1,150,150,100,0.25,bootstrap_mse,ipr,V,laplacian,100,"n_target, n_source=300",5,Gaussian,ipr_V_bootstrap_mse_laplacian,0.004649354405128156,100,"sim_par_1, pi_target = 0.25"
3,sim_par_1,150,150,100,0.25,bootstrap_mse,ipr,V,rbf,100,"n_target, n_source=300",5,Gaussian,ipr_V_bootstrap_mse_rbf,0.00478760918167406,100,"sim_par_1, pi_target = 0.25"
4,sim_par_1,150,150,100,0.25,bootstrap_var,ipr,U,laplacian,100,"n_target, n_source=300",5,Gaussian,ipr_U_bootstrap_var_laplacian,0.00494361209111549,100,"sim_par_1, pi_target = 0.25"
5,sim_par_1,150,150,100,0.25,bootstrap_var,ipr,U,rbf,100,"n_target, n_source=300",5,Gaussian,ipr_U_bootstrap_var_rbf,0.004992193607139291,100,"sim_par_1, pi_target = 0.25"
6,sim_par_1,150,150,100,0.25,bootstrap_var,ipr,V,laplacian,100,"n_target, n_source=300",5,Gaussian,ipr_V_bootstrap_var_laplacian,0.004493568426334859,100,"sim_par_1, pi_target = 0.25"
7,sim_par_1,150,150,100,0.25,bootstrap_var,ipr,V,rbf,100,"n_target, n_source=300",5,Gaussian,ipr_V_bootstrap_var_rbf,0.004906938871804779,100,"sim_par_1, pi_target = 0.25"
8,sim_par_1,150,150,100,0.25,distance,ipr,U,laplacian,100,"n_target, n_source=300",5,Gaussian,ipr_U_distance_laplacian,0.004771777469503824,100,"sim_par_1, pi_target = 0.25"
9,sim_par_1,150,150,100,0.25,distance,ipr,U,rbf,100,"n_target, n_source=300",5,Gaussian,ipr_U_distance_rbf,0.004719393609531787,100,"sim_par_1, pi_target = 0.25"
10,sim_par_1,150,150,100,0.25,distance,ipr,V,laplacian,100,"n_target, n_source=300",5,Gaussian,ipr_V_distance_laplacian,0.004424123131307585,100,"sim_par_1, pi_target = 0.25"
